C1  4.83 91.69  90 0.1uF 0603
C2  2.92 91.69  90 4.7uF 0603
C3 17.14 77.34  90 1.0uF 0603
C4  2.29 85.34 270 0.1uF 0603
C5  4.19 77.34 270 470pF 0603
C6  9.14 91.69  90 0.1uF 0603
C7  8.13 88.77 180 10nF 0603
C8  7.24 91.69  90 4.7uF 0603
D1 11.43 77.22 270 1N4148WS SOD-323
FD1 18.80 78.49   0 FIDUCIAL1X2 FIDUCIAL-1X2
FD2  1.52 96.27   0 FIDUCIAL1X2 FIDUCIAL-1X2
P1  5.98 95.50 270 XC6206P302 XC6206_SOT-23
R1 15.37 77.34 270 1M 0603
R2  9.65 77.34 270 10k 0603
R3  4.19 85.34  90 330 0603
R4  4.19 81.66 270 1.6k 0603
U1 10.29 84.20 180 TLC555CDR D8
